mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.478,0.664,4.635,0.698,0.75,0.35,6.433,10.498,0.0
5.503,0.656,3.958,0.665,0.746,0.32,5.689,7.623,0.0
5.73,0.648,3.972,0.609,0.744,0.338,5.663,7.127,0.0
5.454,0.668,3.635,0.63,0.722,0.323,5.31,6.715,0.0
5.795,0.66,3.456,0.625,0.742,0.348,5.17,6.657,0.0
6.104,0.658,3.466,0.587,0.737,0.345,5.135,6.562,0.0
5.777,0.672,3.288,0.621,0.729,0.337,4.974,6.491,0.0
5.992,0.67,3.205,0.59,0.723,0.329,4.847,6.376,0.0
5.964,0.68,3.235,0.582,0.719,0.325,4.862,6.337,0.0
6.116,0.68,3.02,0.598,0.715,0.326,4.658,6.214,0.0
6.343,0.67,3.077,0.567,0.731,0.327,4.701,6.35,0.0
6.115,0.662,2.984,0.566,0.737,0.331,4.618,6.207,0.0
6.274,0.664,3.033,0.581,0.723,0.315,4.652,6.357,0.0
6.307,0.682,2.983,0.562,0.71,0.331,4.585,6.2,0.0
6.138,0.689,3.049,0.55,0.686,0.304,4.589,6.347,0.0
6.364,0.674,2.964,0.561,0.715,0.32,4.56,6.205,0.0
6.715,0.67,3.019,0.529,0.723,0.339,4.61,6.313,0.0
6.237,0.695,2.886,0.554,0.674,0.31,4.424,6.189,0.0
6.426,0.683,2.815,0.554,0.714,0.321,4.405,6.33,0.0
6.618,0.683,2.924,0.529,0.698,0.319,4.47,6.392,0.0
6.285,0.698,2.944,0.555,0.677,0.308,4.485,6.211,0.0
6.642,0.683,2.675,0.535,0.692,0.315,4.217,6.177,0.0
6.442,0.699,2.992,0.535,0.667,0.301,4.495,6.337,0.0
6.551,0.69,2.872,0.553,0.668,0.307,4.4,6.203,0.0
6.58,0.701,2.772,0.509,0.67,0.301,4.253,6.201,0.0
6.436,0.694,2.706,0.529,0.662,0.308,4.204,6.174,0.0
6.761,0.702,2.683,0.55,0.659,0.308,4.2,6.344,0.0
6.703,0.702,2.697,0.512,0.651,0.303,4.163,6.334,0.0
6.599,0.706,2.714,0.522,0.656,0.312,4.204,6.378,0.0
6.672,0.707,2.733,0.528,0.662,0.307,4.23,6.204,0.0
6.791,0.702,2.636,0.501,0.657,0.301,4.095,6.266,0.0
6.628,0.712,2.723,0.522,0.639,0.291,4.174,6.335,0.0
6.586,0.721,2.631,0.521,0.623,0.295,4.07,6.191,0.0
6.882,0.708,2.688,0.504,0.627,0.303,4.123,6.393,0.0
6.772,0.719,2.632,0.526,0.622,0.296,4.076,6.209,0.0
6.803,0.717,2.632,0.504,0.622,0.293,4.051,6.233,0.0
6.848,0.713,2.653,0.494,0.633,0.292,4.072,6.352,0.0
6.799,0.719,2.619,0.528,0.604,0.283,4.033,6.171,0.0
6.955,0.724,2.556,0.504,0.619,0.292,3.971,6.366,0.0
6.685,0.719,2.558,0.502,0.614,0.291,3.965,6.282,0.0
